name;Último club;Nuevo club;Coste;Amount;Mercado
Mathias Jensen;Nordsjælland;Celta de Vigo;5,00 mill. €;5000000;VERANO
Kaveh Rezaei;RSC Charleroi;Club Brugge;5,00 mill. €;5000000;VERANO
Juan Iturbe;AS Roma;Club Tijuana;5,00 mill. €;5000000;VERANO
Sidcley;Atlético-PR;Dynamo Kyiv;5,00 mill. €;5000000;VERANO
Evan N'Dicka;AJ Auxerre;E. de Francfort;5,00 mill. €;5000000;VERANO
Carlos Salcedo;Chivas;E. de Francfort;5,00 mill. €;5000000;VERANO
Moussa Wagué;KAS Eupen;FC Barcelona B;5,00 mill. €;5000000;VERANO
Christian Kouamé;Cittadella;Genoa CFC;5,00 mill. €;5000000;VERANO
Ignasi Miquel;Málaga CF;Getafe CF;5,00 mill. €;5000000;VERANO
Nemanja Maksimovic;Valencia CF;Getafe CF;5,00 mill. €;5000000;VERANO
Johan Mojica;Rayo Vallecano;Girona FC;5,00 mill. €;5000000;VERANO
Marc Muniesa;Stoke City;Girona FC;5,00 mill. €;5000000;VERANO
Achraf Bencharki;Wydad AC;Hilal;5,00 mill. €;5000000;INVIERNO
Florent Hadergjonaj;FC Ingolstadt;Huddersfield;5,00 mill. €;5000000;VERANO
Giangiacomo Magnani;Perugia;Juventus;5,00 mill. €;5000000;VERANO
Moses Simon;KAA Gent;Levante UD;5,00 mill. €;5000000;VERANO
Benedikt Höwedes;FC Schalke 04;Loko Moskva;5,00 mill. €;5000000;VERANO
Carlos Vela;Real Sociedad;Los Angeles FC;5,00 mill. €;5000000;INVIERNO
Jonathan Ikoné;Paris SG;LOSC Lille;5,00 mill. €;5000000;VERANO
Petros;São Paulo;Nasr;5,00 mill. €;5000000;VERANO
Christophe Hérelle;Troyes;OGC Nice;5,00 mill. €;5000000;VERANO
Lenny Pintor;Stade Brestois;Olymp. Lyonnais;5,00 mill. €;5000000;VERANO
Juan Bernat;Bayern Múnich;Paris SG;5,00 mill. €;5000000;VERANO
Álvaro García;Cádiz CF;Rayo Vallecano;5,00 mill. €;5000000;VERANO
Jens Odgaard;Inter de Milán;Sassuolo;5,00 mill. €;5000000;VERANO
Giangiacomo Magnani;Juventus;Sassuolo;5,00 mill. €;5000000;VERANO
Luca Waldschmidt;Hamburgo;SC Freiburg;5,00 mill. €;5000000;VERANO
Sergi Gómez;Celta de Vigo;Sevilla FC;5,00 mill. €;5000000;VERANO
Rémy Cabella;Marseille;St-Étienne;5,00 mill. €;5000000;VERANO
Firmin Mubele;Rennes;Toulouse;5,00 mill. €;5000000;VERANO
Felipe Vizeu;Flamengo;Udinese Calcio;5,00 mill. €;5000000;VERANO
Fabrício;Portimonense;Urawa Reds;5,00 mill. €;5000000;VERANO
Gonzalo Castro;Bor. Dortmund;VfB Stuttgart;5,00 mill. €;5000000;VERANO
Jérôme Roussillon;Montpellier;VfL Wolfsburg;5,00 mill. €;5000000;VERANO
Adam Masina;FC Bologna;Watford;5,00 mill. €;5000000;VERANO
Dodi Lukebakio;RSC Charleroi;Watford;5,00 mill. €;5000000;INVIERNO
Ahmed Hegazy;Ahly;West Brom;5,00 mill. €;5000000;INVIERNO
Rafael Silva;Urawa Reds;WH Zall;5,00 mill. €;5000000;INVIERNO
Tchê Tchê;Palmeiras;Dynamo Kyiv;4,80 mill. €;4800000;VERANO
Orlando Sá;Standard Lieja;HN Jianye;4,80 mill. €;4800000;INVIERNO
Jasmin Kurtic;Atalanta;SPAL;4,80 mill. €;4800000;VERANO
Nicolò Zaniolo;Inter de Milán;AS Roma;4,50 mill. €;4500000;VERANO
Augusto Fernández;Atlético Madrid;BJ Renhe;4,50 mill. €;4500000;INVIERNO
Andreas Poulsen;Midtjylland;Bor. M'gladbach;4,50 mill. €;4500000;VERANO
David Button;FC Fulham;Brighton;4,50 mill. €;4500000;VERANO
Silvan Widmer;Udinese Calcio;FC Basel;4,50 mill. €;4500000;VERANO
Mattias Svanberg;Malmö FF;FC Bologna;4,50 mill. €;4500000;VERANO
Chancel Mbemba;Newcastle Utd.;FC Porto;4,50 mill. €;4500000;VERANO
Krzysztof Piatek;Cracovia Kraków;Genoa CFC;4,50 mill. €;4500000;VERANO
Genki Haraguchi;Hertha Berlin;Hannover 96;4,50 mill. €;4500000;VERANO
Roland Sallai;APOEL FC;SC Freiburg;4,50 mill. €;4500000;VERANO
John Egan;Brentford;Sheffield Utd.;4,50 mill. €;4500000;VERANO
Abdoulay Diaby;Club Brugge;Sporting CP;4,50 mill. €;4500000;VERANO
Bruno Gaspar;Fiorentina;Sporting CP;4,50 mill. €;4500000;VERANO
Yuya Osako;1.FC Köln;Werder Bremen;4,50 mill. €;4500000;VERANO
Kyle Bartley;Swansea City;West Brom;4,50 mill. €;4500000;VERANO
Elmir Nabiullin;Rubin Kazan;Zenit S-Pb;4,50 mill. €;4500000;INVIERNO
Carlos Sánchez;Fiorentina;West Ham Utd.;4,45 mill. €;4450000;VERANO
Lucas Pérez;FC Arsenal;West Ham Utd.;4,40 mill. €;4400000;VERANO
Pierluigi Gollini;Aston Villa;Atalanta;4,30 mill. €;4300000;VERANO
Iván Marcone;Lanús;CD Cruz Azul;4,28 mill. €;4280000;VERANO
Ayrton Preciado;CS Emelec;Santos Laguna;4,25 mill. €;4250000;VERANO
Aleksandar Pesic;Estrella Roja;ttihad;4,20 mill. €;4200000;VERANO
Dimitri Oberlin;RB Salzburg;FC Basel;4,10 mill. €;4100000;VERANO
Jeremain Lens;AFC Sunderland;Besiktas;4,09 mill. €;4090000;VERANO
Dominick Drexler;Midtjylland;1.FC Köln;4,00 mill. €;4000000;VERANO
Nicolás Tagliafico;Independiente;AFC Ajax;4,00 mill. €;4000000;INVIERNO
John Guidetti;Celta de Vigo;Alavés;4,00 mill. €;4000000;VERANO
Marcos Guilherme;Atlético-PR;Al-Wahda;4,00 mill. €;4000000;VERANO
Antonio Mirante;FC Bologna;AS Roma;4,00 mill. €;4000000;VERANO
Arkadiusz Reca;Wis?a P?ock;Atalanta;4,00 mill. €;4000000;VERANO
Adam Webster;Ipswich;Bristol City;4,00 mill. €;4000000;VERANO
Greg Cunningham;Preston NE;Cardiff;4,00 mill. €;4000000;VERANO
Alex Smithies;QPR;Cardiff;4,00 mill. €;4000000;VERANO
Arnór Sigurdsson;Norrköping;CSKA Moscú;4,00 mill. €;4000000;VERANO
Ivan Oblyakov;Ufa;CSKA Moscú;4,00 mill. €;4000000;VERANO
Benjamin Verbic;FC Copenhague;Dynamo Kyiv;4,00 mill. €;4000000;INVIERNO
Mikkel Duelund;Midtjylland;Dynamo Kyiv;4,00 mill. €;4000000;VERANO
Maxime Le Marchand;OGC Nice;FC Fulham;4,00 mill. €;4000000;VERANO
Lucas Evangelista;Udinese Calcio;FC Nantes;4,00 mill. €;4000000;VERANO
João Pedro;Palmeiras;FC Porto;4,00 mill. €;4000000;VERANO
Éder Militão;São Paulo;FC Porto;4,00 mill. €;4000000;VERANO
Jailson;Grêmio;Fenerbahce;4,00 mill. €;4000000;VERANO
Bryan Dabo;St-Étienne;Fiorentina;4,00 mill. €;4000000;INVIERNO
Emre Akbaba;Alanyaspor;Galatasaray;4,00 mill. €;4000000;VERANO
Iván Alejo;SD Eibar;Getafe CF;4,00 mill. €;4000000;VERANO
Ezequiel Cerutti;San Lorenzo;Hilal;4,00 mill. €;4000000;INVIERNO
Jonny Evans;West Brom;Leicester City;4,00 mill. €;4000000;VERANO
Jack Harrison;NYCFC;Manchester City;4,00 mill. €;4000000;INVIERNO
Fabian Schär;RC Deportivo;Newcastle Utd.;4,00 mill. €;4000000;VERANO
Martin Dubravka;Sparta Praha;Newcastle Utd.;4,00 mill. €;4000000;VERANO
Ribamar;Atlético-PR;Pyramids FC;4,00 mill. €;4000000;VERANO
Lebo Mothiba;LOSC Lille;R. Strasbourg;4,00 mill. €;4000000;VERANO
Matz Sels;Newcastle Utd.;R. Strasbourg;4,00 mill. €;4000000;VERANO
Omar Mascarell;E. de Francfort;Real Madrid;4,00 mill. €;4000000;VERANO
Ghislain Konan;Vit. Guimarães;Reims;4,00 mill. €;4000000;VERANO
Clément Grenier;Guingamp;Rennes;4,00 mill. €;4000000;VERANO
Saman Ghoddos;Östersund;SC Amiens;4,00 mill. €;4000000;VERANO
Sergio Álvarez;Sporting;SD Eibar;4,00 mill. €;4000000;VERANO
Alberto Paloschi;Atalanta;SPAL;4,00 mill. €;4000000;VERANO
Carlos Vinícius;Real SC;SSC Napoli;4,00 mill. €;4000000;VERANO
Baptiste Reynet;Dijon;Toulouse;4,00 mill. €;4000000;VERANO
Daniel Didavi;VfL Wolfsburg;VfB Stuttgart;4,00 mill. €;4000000;VERANO
Miguel Layún;FC Porto;Villarreal CF;4,00 mill. €;4000000;VERANO
Fabián Balbuena;Corinthians;West Ham Utd.;4,00 mill. €;4000000;VERANO
Léo Bonatini;Hilal;Wolverhampton;4,00 mill. €;4000000;VERANO
Joe Hart;Manchester City;FC Burnley;3,90 mill. €;3900000;VERANO
Sam Baldock;Brighton;Reading;3,90 mill. €;3900000;VERANO
Jeremie Boga;Chelsea U23;Sassuolo;3,90 mill. €;3900000;VERANO
Pontus Dahlberg;IFK Göteborg;Watford;3,90 mill. €;3900000;INVIERNO
Juan Musso;Racing Club;Udinese Calcio;3,85 mill. €;3850000;VERANO
Anthony Ujah;Liaoning FC;1.FSV Mainz 05;3,80 mill. €;3800000;INVIERNO
Nicolae Stanciu;RSC Anderlecht;Sparta Praha;3,75 mill. €;3750000;INVIERNO
Kenny Saief;KAA Gent;RSC Anderlecht;3,70 mill. €;3700000;VERANO
Johnathan;Suwon Bluewings;TJ Teda;3,70 mill. €;3700000;INVIERNO
Claudio Spinelli;Tigre;Genoa CFC;3,60 mill. €;3600000;VERANO
Louis Schaub;Rapid Viena;1.FC Köln;3,50 mill. €;3500000;VERANO
Jean-Paul Boëtius;Feyenoord;1.FSV Mainz 05;3,50 mill. €;3500000;VERANO
Germán Conti;Colón;Benfica;3,50 mill. €;3500000;VERANO
Matej Mitrovic;Besiktas;Club Brugge;3,50 mill. €;3500000;VERANO
Lucas Torró;Real Madrid;E. de Francfort;3,50 mill. €;3500000;VERANO
Felipe Avenatti;Luqueño;FC Bologna;3,50 mill. €;3500000;VERANO
Christian Nörgaard;Brøndby IF;Fiorentina;3,50 mill. €;3500000;VERANO
David Hancko;MSK Zilina;Fiorentina;3,50 mill. €;3500000;VERANO
Toma Basic;Hajduk Split;G. Bordeaux;3,50 mill. €;3500000;VERANO
Andrew Gravillon;Benevento;Pescara;3,50 mill. €;3500000;INVIERNO
Thomas Foket;KAA Gent;Reims;3,50 mill. €;3500000;VERANO
Frank Acheampong;RSC Anderlecht;TJ Teda;3,50 mill. €;3500000;INVIERNO
Nicolas N'Koulou;Olymp. Lyonnais;Torino;3,50 mill. €;3500000;VERANO
Joshua Brenet;PSV Eindhoven;TSG Hoffenheim;3,50 mill. €;3500000;VERANO
Lukasz Teodorczyk;RSC Anderlecht;Udinese Calcio;3,50 mill. €;3500000;VERANO
Octavio Rivero;Colo Colo;Atlas;3,42 mill. €;3420000;VERANO
Jack Marriott;Peterborough;Derby;3,40 mill. €;3400000;VERANO
Cyrus Christie;Middlesbrough;FC Fulham;3,40 mill. €;3400000;INVIERNO
Fernando Karanga;CSKA Sofia;HN Jianye;3,40 mill. €;3400000;VERANO
Silvio Romero;América;Independiente;3,40 mill. €;3400000;INVIERNO
Fernando Gaibor;CS Emelec;Independiente;3,40 mill. €;3400000;INVIERNO
Barry Douglas;Wolverhampton;Leeds;3,40 mill. €;3400000;VERANO
Connor Goldson;Brighton;Rangers FC;3,40 mill. €;3400000;VERANO
Bersant Celina;Manchester City;Swansea City;3,40 mill. €;3400000;VERANO
José Sosa;AC Milan;Trabzonspor;3,40 mill. €;3400000;INVIERNO
Andrés Ibargüen;Racing Club;América;3,30 mill. €;3300000;INVIERNO
Dan Burn;Wigan;Brighton;3,30 mill. €;3300000;VERANO
Federico Viviani;Hellas Verona;SPAL;3,30 mill. €;3300000;VERANO
William Troost-Ekong;Bursaspor;Udinese Calcio;3,30 mill. €;3300000;VERANO
George Puscas;Inter de Milán;US Palermo;3,30 mill. €;3300000;VERANO
Magomed Ozdoev;Rubin Kazan;Zenit S-Pb;3,30 mill. €;3300000;INVIERNO
Steve;YB Funde;Vejle BK;3,28 mill. €;3280000;INVIERNO
Bruno Zuculini;Hellas Verona;River Plate;3,25 mill. €;3250000;INVIERNO
Percy Tau;Sundowns;Brighton;3,20 mill. €;3200000;VERANO
Damir Ceter;Quindío;Cagliari;3,20 mill. €;3200000;INVIERNO
Steven Skrzybski;Union Berlin;FC Schalke 04;3,20 mill. €;3200000;VERANO
Ognjen Vranjes;AEK Atenas;RSC Anderlecht;3,20 mill. €;3200000;VERANO
Peter Olayinka;KAA Gent;Slavia Praha;3,20 mill. €;3200000;VERANO
Franco Armani;Atl. Nacional;River Plate;3,15 mill. €;3150000;INVIERNO
John McGinn;Hibernian FC;Aston Villa;3,10 mill. €;3100000;VERANO
Florian Jozefzoon;Brentford;Derby;3,10 mill. €;3100000;VERANO
Vincent Koziello;OGC Nice;1.FC Köln;3,00 mill. €;3000000;INVIERNO
Simon Terodde;VfB Stuttgart;1.FC Köln;3,00 mill. €;3000000;INVIERNO
Virgil Misidjan;Ludogorets;1.FC Nürnberg;3,00 mill. €;3000000;VERANO
Patrick Twumasi;FC Astana;Alavés;3,00 mill. €;3000000;VERANO
Anselmo;Internacional;Al-Wahda;3,00 mill. €;3000000;VERANO
Örjan Nyland;FC Ingolstadt;Aston Villa;3,00 mill. €;3000000;VERANO
Ander Capa;SD Eibar;Athletic;3,00 mill. €;3000000;VERANO
Andrés Tello;Juventus;Benevento;3,00 mill. €;3000000;VERANO
Luca Antei;Sassuolo;Benevento;3,00 mill. €;3000000;VERANO
Vágner Love;Alanyaspor;Besiktas;3,00 mill. €;3000000;INVIERNO
Sergio Gómez;Barça Juvenil A;Bor. Dortmund;3,00 mill. €;3000000;INVIERNO
Bruno Viana;Olympiacos FC;Braga;3,00 mill. €;3000000;VERANO
Federico Barba;Sporting;Chievo Verona;3,00 mill. €;3000000;VERANO
Karlo Letica;Hajduk Split;Club Brugge;3,00 mill. €;3000000;VERANO
Siebe Schrijvers;KRC Genk;Club Brugge;3,00 mill. €;3000000;VERANO
Sebá;Olympiacos FC;CQ Dangdai Lif.;3,00 mill. €;3000000;VERANO
Goncalo Paciencia;FC Porto;E. de Francfort;3,00 mill. €;3000000;VERANO
Fredrik Jensen;FC Twente;FC Augsburg;3,00 mill. €;3000000;VERANO
André Hahn;Hamburgo;FC Augsburg;3,00 mill. €;3000000;VERANO
Jamiro Monteiro;Heracles Almelo;FC Metz;3,00 mill. €;3000000;VERANO
Mathieu Dossevi;Standard Lieja;FC Metz;3,00 mill. €;3000000;VERANO
Ewerton;Portimonense;FC Porto;3,00 mill. €;3000000;VERANO
Saidy Janko;St-Étienne;FC Porto;3,00 mill. €;3000000;VERANO
Federico Ceccherini;Crotone;Fiorentina;3,00 mill. €;3000000;VERANO
Robert Piris;San Lorenzo;Flamengo;3,00 mill. €;3000000;VERANO
David Soria;Sevilla FC;Getafe CF;3,00 mill. €;3000000;VERANO
Igor Plastun;Ludogorets;KAA Gent;3,00 mill. €;3000000;VERANO
Arnaud Souquet;OGC Nice;KAA Gent;3,00 mill. €;3000000;VERANO
Giorgi Kvilitaia;Rapid Viena;KAA Gent;3,00 mill. €;3000000;VERANO
Joseph Paintsil;Tema Youth;KRC Genk;3,00 mill. €;3000000;VERANO
Jonathan Panzo;Chelsea U18;Monaco;3,00 mill. €;3000000;VERANO
Samuel Grandsir;Troyes;Monaco;3,00 mill. €;3000000;VERANO
Gaëtan Laborde;G. Bordeaux;Montpellier;3,00 mill. €;3000000;VERANO
Denis Bouanga;FC Lorient;Nîmes Olympique;3,00 mill. €;3000000;VERANO
El Arbi Hillel Soudani;Dinamo Zagreb;Nottm Forest;3,00 mill. €;3000000;VERANO
Youcef Atal;KV Kortrijk;OGC Nice;3,00 mill. €;3000000;VERANO
Stefan Mitrovic;KAA Gent;R. Strasbourg;3,00 mill. €;3000000;VERANO
Karim Adeyemi;U'haching U19;RB Salzburg;3,00 mill. €;3000000;VERANO
Hyun-jun Suk;Troyes;Reims;3,00 mill. €;3000000;VERANO
Elias Cobbaut;KV Mechelen;RSC Anderlecht;3,00 mill. €;3000000;VERANO
Ivan Santini;SM Caen;RSC Anderlecht;3,00 mill. €;3000000;VERANO
Dominique Heintz;1.FC Köln;SC Freiburg;3,00 mill. €;3000000;VERANO
Olarenwaju Kayode;Manchester City;Shakhtar D.;3,00 mill. €;3000000;VERANO
Enzo Crivelli;SCO Angers;SM Caen;3,00 mill. €;3000000;VERANO
Seydou Doumbia;AS Roma;Sporting CP;3,00 mill. €;3000000;INVIERNO
Samuel Bastien;Chievo Verona;Standard Lieja;3,00 mill. €;3000000;VERANO
Mario Gómez;VfL Wolfsburg;VfB Stuttgart;3,00 mill. €;3000000;INVIERNO
Felix Klaus;Hannover 96;VfL Wolfsburg;3,00 mill. €;3000000;VERANO
Felix Beijmo;Djurgarden;Werder Bremen;3,00 mill. €;3000000;VERANO
Henrique Dourado;Fluminense;Flamengo;2,90 mill. €;2900000;INVIERNO
Ezri Konsa;Charlton;Brentford;2,85 mill. €;2850000;VERANO
Tyler Roberts;West Brom U23;Leeds;2,85 mill. €;2850000;INVIERNO
Michael Lang;FC Basel;Bor. M'gladbach;2,80 mill. €;2800000;VERANO
Hördur Magnússon;Bristol City;CSKA Moscú;2,80 mill. €;2800000;VERANO
Frederik Rönnow;Brøndby IF;E. de Francfort;2,80 mill. €;2800000;VERANO
Marcelo Díaz;UNAM Pumas;Racing Club;2,80 mill. €;2800000;VERANO
Ben Foster;West Brom;Watford;2,80 mill. €;2800000;VERANO
Jaroslaw Jach;Zag??bie;Crystal Palace;2,75 mill. €;2750000;INVIERNO
Ryan Thomas;PEC Zwolle;PSV Eindhoven;2,75 mill. €;2750000;VERANO
Josip Misic;HNK Rijeka;Sporting CP;2,75 mill. €;2750000;INVIERNO
Hussein El Shahat;El Makasa;Al-Ain FC;2,70 mill. €;2700000;VERANO
Viktor Fischer;1.FSV Mainz 05;FC Copenhague;2,70 mill. €;2700000;INVIERNO
Ahmed El Shenawy;Zamalek;Pyramids FC;2,65 mill. €;2650000;VERANO
Alexandru Baluta;CS U Craiova;Slavia Praha;2,65 mill. €;2650000;VERANO
Michael Frey;FC Zürich;Fenerbahce;2,64 mill. €;2640000;VERANO
Walter González;Olimpia;CF Pachuca;2,63 mill. €;2630000;VERANO
David;EC Vitória;Cruzeiro;2,60 mill. €;2600000;INVIERNO
Florent Mollet;FC Metz;Montpellier;2,60 mill. €;2600000;VERANO
Miler Bolaños;Grêmio;Club Tijuana;2,57 mill. €;2570000;VERANO
Diego Souza;Sport Recife;São Paulo;2,56 mill. €;2560000;INVIERNO
Fernandão;Fenerbahce;Al-Wahda;2,55 mill. €;2550000;VERANO
Fred;Atlético-MG;Cruzeiro;2,55 mill. €;2550000;INVIERNO
Zhipeng Jiang;GZ R&F;HB CFFC;2,55 mill. €;2550000;INVIERNO
Brian Fernández;Racing Club;Necaxa;2,53 mill. €;2530000;VERANO
Kristian Pedersen;Union Berlin;Birmingham;2,50 mill. €;2500000;VERANO
Carlos Fierro;Chivas;CD Cruz Azul;2,50 mill. €;2500000;INVIERNO
Mariusz Stepinski;FC Nantes;Chievo Verona;2,50 mill. €;2500000;VERANO
Nenad Tomovi?;Fiorentina;Chievo Verona;2,50 mill. €;2500000;VERANO
Sofyan Amrabat;Feyenoord;Club Brugge;2,50 mill. €;2500000;VERANO
Lovro Majer;NK Lokomotiva;Dinamo Zagreb;2,50 mill. €;2500000;VERANO
Richmond Boakye;JS Suning;Estrella Roja;2,50 mill. €;2500000;VERANO
Berke Özer;Altinordu;Fenerbahce;2,50 mill. €;2500000;VERANO
Harun Tekin;Bursaspor;Fenerbahce;2,50 mill. €;2500000;VERANO
Yuto Nagatomo;Inter de Milán;Galatasaray;2,50 mill. €;2500000;VERANO
Vitorino Antunes;Dynamo Kyiv;Getafe CF;2,50 mill. €;2500000;VERANO
Sikou Niakaté;Valenciennes FC;Guingamp;2,50 mill. €;2500000;VERANO
Kévin Boli;CFR Cluj;GZ Hengfeng;2,50 mill. €;2500000;VERANO
Josip Elez;HNK Rijeka;Hannover 96;2,50 mill. €;2500000;VERANO
Jonas Lössl;1.FSV Mainz 05;Huddersfield;2,50 mill. €;2500000;VERANO
Juninho Bacuna;FC Groningen;Huddersfield;2,50 mill. €;2500000;VERANO
Jonatan Álvez;Barcelona SC;Junior FC;2,50 mill. €;2500000;INVIERNO
Jhon Lucumí;Deportivo Cali;KRC Genk;2,50 mill. €;2500000;VERANO
Ivan Fiolic;Dinamo Zagreb;KRC Genk;2,50 mill. €;2500000;VERANO
Mattia Sprocati;Salernitana;Lazio;2,50 mill. €;2500000;VERANO
Diego Rossi;Peñarol;Los Angeles FC;2,50 mill. €;2500000;INVIERNO
Zeki Celik;Istanbulspor;LOSC Lille;2,50 mill. €;2500000;VERANO
Philippe Sandler;PEC Zwolle;Manchester City;2,50 mill. €;2500000;VERANO
Dominick Drexler;Holstein Kiel;Midtjylland;2,50 mill. €;2500000;VERANO
Onel Hernández;E. Braunschweig;Norwich;2,50 mill. €;2500000;INVIERNO
Guilherme;RC Deportivo;Olympiacos FC;2,50 mill. €;2500000;VERANO
Gaël Kakuta;HB CFFC;Rayo Vallecano;2,50 mill. €;2500000;VERANO
Vidar Örn Kjartansson;M. Tel Aviv;Rostov;2,50 mill. €;2500000;VERANO
Ryota Morioka;Waasl.-Beveren;RSC Anderlecht;2,50 mill. €;2500000;INVIERNO
Serdar Gürler;Osmanlispor;SD Huesca;2,50 mill. €;2500000;VERANO
Constantin Budescu;FCSB;Shabab;2,50 mill. €;2500000;VERANO
Yacine Bammou;FC Nantes;SM Caen;2,50 mill. €;2500000;VERANO
Simone Missiroli;Sassuolo;SPAL;2,50 mill. €;2500000;VERANO
Uros Djurdjevic;Olympiacos FC;Sporting;2,50 mill. €;2500000;VERANO
Lumor;Portimonense;Sporting CP;2,50 mill. €;2500000;INVIERNO
Mehdi Carcela-González;Granada CF;Standard Lieja;2,50 mill. €;2500000;VERANO
Gojko Cimirot;PAOK;Standard Lieja;2,50 mill. €;2500000;INVIERNO
Mathieu Dossevi;FC Metz;Toulouse;2,50 mill. €;2500000;VERANO
Quenten Martinus;Yokohama F. M.;Urawa Reds;2,50 mill. €;2500000;INVIERNO
Roberto Massimo;Bielefeld U19;VfB Stuttgart;2,50 mill. €;2500000;VERANO
Borna Barisic;NK Osijek;Rangers FC;2,45 mill. €;2450000;VERANO
Odysseas Vlachodimos;Panathinaikos;Benfica;2,43 mill. €;2430000;VERANO
Lucas Galvão;Rapid Viena;FC Ingolstadt;2,40 mill. €;2400000;VERANO
Saúl Salcedo;Olimpia;Huracán;2,40 mill. €;2400000;VERANO
Jonathan Menéndez;CA Talleres;Independiente;2,40 mill. €;2400000;INVIERNO
Luis Pedro Cavanda;Galatasaray;Standard Lieja;2,40 mill. €;2400000;VERANO
Armin Hodzic;Dinamo Zagreb;Vidi FC;2,40 mill. €;2400000;VERANO
Björn Johnsen;ADO Den Haag;AZ Alkmaar;2,30 mill. €;2300000;VERANO
Sandro;Antalyaspor;Benevento;2,30 mill. €;2300000;VERANO
Emmanuel Más;Trabzonspor;Boca Juniors;2,30 mill. €;2300000;INVIERNO
Mauro Zárate;Watford;Boca Juniors;2,30 mill. €;2300000;VERANO
Sandro;Benevento;Genoa CFC;2,30 mill. €;2300000;VERANO
Tobias Figueiredo;Sporting CP;Nottm Forest;2,30 mill. €;2300000;VERANO
Léo Jabá;Akhmat Grozny;PAOK;2,30 mill. €;2300000;VERANO
Alessio Da Cruz;Novara;Parma;2,30 mill. €;2300000;INVIERNO
Joel Asoro;AFC Sunderland;Swansea City;2,30 mill. €;2300000;VERANO
Thiago Carleto;Atlético-PR;ttihad;2,30 mill. €;2300000;VERANO
Nikola Katic;Slaven Belupo;Rangers FC;2,28 mill. €;2280000;VERANO
Lasse Vibe;Brentford;CC Yatai;2,27 mill. €;2270000;INVIERNO
Fabián Castillo;Trabzonspor;Club Tijuana;2,26 mill. €;2260000;VERANO
Keanan Bennetts;Tottenham U23;Bor. M'gladbach;2,25 mill. €;2250000;VERANO
Andreas Weimann;Derby;Bristol City;2,25 mill. €;2250000;VERANO
Mehdi Bourabia;Konyaspor;Sassuolo;2,25 mill. €;2250000;VERANO
Ken Sema;Östersund;Watford;2,25 mill. €;2250000;VERANO
Martin Harnik;Hannover 96;Werder Bremen;2,25 mill. €;2250000;VERANO
Rúben Vinagre;Monaco;Wolverhampton;2,25 mill. €;2250000;VERANO
Anders Dreyer;Esbjerg fB;Brighton U23;2,20 mill. €;2200000;VERANO
Arthur;Chapecoense;Pyramids FC;2,20 mill. €;2200000;VERANO
Thomas Didillon;FC Metz;RSC Anderlecht;2,20 mill. €;2200000;VERANO
Dodi Lukebakio;RSC Anderlecht;RSC Charleroi;2,20 mill. €;2200000;INVIERNO
Albin Ekdal;Hamburgo;UC Sampdoria;2,20 mill. €;2200000;VERANO
Uros Racic;Estrella Roja;V. Mestalla;2,20 mill. €;2200000;VERANO
Josh Windass;Rangers FC;Wigan;2,20 mill. €;2200000;VERANO
Moussa Koné;FC Zürich;Dynamo Dresden;2,16 mill. €;2160000;INVIERNO
Mauro Arambarri;Boston River;Getafe CF;2,15 mill. €;2150000;VERANO
Carlos Benavidez;Defensor;Independiente;2,15 mill. €;2150000;VERANO
Ali Gabr;Zamalek;Pyramids FC;2,15 mill. €;2150000;VERANO
Juan Ferney Otero;Estudiantes;SC Amiens;2,14 mill. €;2140000;VERANO
Yairo Moreno;Indep. Medellín;León;2,12 mill. €;2120000;VERANO
Jean-Claude Billong;Maribor;Benevento;2,10 mill. €;2100000;INVIERNO
Konstantinos Mavropanos;PAS Giannina;FC Arsenal;2,10 mill. €;2100000;INVIERNO
Aldo Kalulu;Olymp. Lyonnais;FC Basel;2,10 mill. €;2100000;VERANO
Alessandro Di Pardo;SPAL U19;Juventus U19;2,10 mill. €;2100000;INVIERNO
Sebastián Ferreira;Olimpia;Morelia;2,06 mill. €;2060000;VERANO
Mateus Vital;Vasco da Gama;Corinthians;2,05 mill. €;2050000;INVIERNO
Issah Abass;Olimpija;1.FSV Mainz 05;2,00 mill. €;2000000;VERANO
Tino Kadewere;Djurgarden;AC Le Havre;2,00 mill. €;2000000;VERANO
Perr Schuurs;Fortuna Sittard;AFC Ajax;2,00 mill. €;2000000;INVIERNO
Dominik Kotarski;Din. Zagreb U19;Ajax B;2,00 mill. €;2000000;INVIERNO
Nicolas Kühn;RB Leipzig U19;Ajax B;2,00 mill. €;2000000;INVIERNO
Oussama Idrissi;FC Groningen;AZ Alkmaar;2,00 mill. €;2000000;INVIERNO
Milos Jojic;1.FC Köln;Basaksehir;2,00 mill. €;2000000;VERANO
Alfa Semedo;Moreirense;Benfica;2,00 mill. €;2000000;VERANO
Julian Jeanvier;Reims;Brentford;2,00 mill. €;2000000;VERANO
Fabrizio Caligara;Juventus U19;Cagliari;2,00 mill. €;2000000;INVIERNO
Joel Obi;Torino;Chievo Verona;2,00 mill. €;2000000;VERANO
Krépin Diatta;Sarpsborg 08;Club Brugge;2,00 mill. €;2000000;INVIERNO
Ante Budimir;UC Sampdoria;Crotone;2,00 mill. €;2000000;VERANO
Naïm Sliti;LOSC Lille;Dijon;2,00 mill. €;2000000;VERANO
Ante Rebic;Fiorentina;E. de Francfort;2,00 mill. €;2000000;VERANO
Marvin Ducksch;FC St. Pauli;F. Düsseldorf;2,00 mill. €;2000000;VERANO
