IDF;ID;Name
753;0;Hamza Lahmar
755;0;Cristian Bunino
757;0;Salah Mohsen
759;0;Nayef Aguerd
765;0;Jeff Reine-Adélaïde
768;0;Santiago Tréllez
769;0;Jan Matousek
773;0;Igor Sergeev
775;0;Ondrej Mihalik
776;0;Kaloyan Krastev
778;0;Nikolas Spalek
779;0;Mohamed Camara
782;0;Ivan Tomecak
785;0;Juninho Capixaba
787;0;Federico Mancuello
791;0;Samuel Mraz
792;0;Baris Alici
793;0;Dusan Vlahovic
797;212107;Adis Jahovic
806;0;Diogo Barbosa
809;0;Jean
810;0;Alessandro Tripaldelli
811;0;Ante Erceg
816;0;Vitalie Damascan
818;0;Nicholas Opoku
819;199569;Érick Torres
825;0;Denis Alibec
826;0;Ferdi Kadioglu
832;0;Léandre Tawamba
836;0;Hugo Nervo
841;0;Ragnar Klavan
842;0;Julian von Moos
844;0;Facundo Castro
847;234636;Andrija Pavlovic
848;0;Mateo Barac
852;0;Diego Calderon
853;0;Mohamed Magdy
857;0;Emerson Santos
861;0;Kawin Thamsatchanan
870;190931;Ervin Zukanovic
872;0;Aleksandar Palocevic
876;0;Evgen Makarenko
878;0;Jucilei
879;0;Franck Ohandza
881;0;Hamid Ahadad
883;210951;Édison Flores
884;0;Mohamed Hamdi
892;0;Anthony Nwakaeme
895;0;Anthony Blondell
896;0;Pablo Aránguiz
897;0;Douglas Augusto
899;0;Carlos Feraud
901;199952;Emre Colak
904;0;Andrej Lukic
906;0;Viktor Gyökeres
907;0;Josip Radosevic
908;0;Arnaut Danjuma
910;0;Alexandru Cicaldau
912;221174;Mislav Orsic
913;224600;Goran Causic
930;0;Antonio Candela
933;0;Davis Ikaunieks
934;0;Bilal Basacikoglu
935;0;Evgen Opanasenko
944;0;Giannis Masouras
946;0;Tomas Chory
955;0;Braian Samudio
956;236541;Dennis Hadzikadunic
958;0;Filip Uremovic
960;0;Stiven Mendoza
963;0;Marquinhos Cipriano
964;0;Ondrej Kolar
966;0;Guélor Kanga
971;170797;Nuri Sahin
975;0;José Francisco Cevallos Jr.
976;0;Mohamed Fathi
977;0;Ángelo Henríquez
979;0;Pedro Conde
988;0;Marco Túlio
995;0;Luka Bogdan
997;0;Eugenio Isnaldo
999;207516;Jakub Swierczok
1001;0;Mohamed Farouk
1003;0;Jaroslav Zeleny
1007;0;Jeremy Brockie
1008;0;Fernand Mayembo
1009;0;Zoran Nizic
1013;0;Facundo Medina
1015;0;Srdjan Babic
1018;0;Blessing Eleke
1023;0;Dario Zuparic
1025;0;Gustavo
1030;0;Jasper van der Werff
1031;0;Luka Adzic
1033;0;Pedro Delgado
1040;0;José Alí Meza
1042;228736;Wuilker Fariñez
1044;0;Ragab Bakar
1045;0;Otar Kiteishvili
1054;0;Domagoj Antolic
1060;0;Kristal Abazaj
1061;0;Alexandru Mitrita
1065;0;Sindrit Guri
1066;0;José Caraballo
1068;0;Valentin Costache
1071;0;Woo-yeong Jeong
1072;0;Jung-min Kim
1074;0;Olimpiu Morutan
1075;0;Davide Lanzafame
1078;0;Vladimir Coufal
1079;0;Everton Luiz
1083;0;Alkhali Bangoura
1084;0;Joaquín Varela
1088;0;Jawad El Yamiq
1089;0;Aleksandar Radovanovic
1094;0;Dino Ndlovu
1096;0;Luiz Fernando
1102;0;Michal Duris
1105;0;Lorenzo Ebecilio
1107;201877;Mats Möller Daehli
1112;234972;Yannick Gomis
1113;0;Badr Boulahroud
1114;0;Ehsan Hajsafi
1118;0;Andraz Sporar
1119;0;Kenan Bajric
1120;0;Ionut Nedelcearu
1122;0;Mahmoud Abdelaziz
1124;0;Hamdi Nagguez
1130;0;Oumar Solet
1133;0;Majid Hosseini
1134;0;Madson
1138;0;Afonso Caetano
1139;0;Simon Andersson
1143;0;Luis Milla
1144;0;Stephen Eustáquio
1145;0;Luan Peres
1147;0;Kristijan Bistrovic
1150;0;Islam Issa
1151;0;El Fardou Ben
1152;0;Marin Tomasov
1161;0;Rifet Kapic
1163;0;Leandro Fernandes
1164;0;Marko Jevtovic
1165;0;Hólmar Örn Eyjólfsson
1167;0;May Mahlangu
1170;0;Jordan Larsson
1175;0;Fabio Morselli
1177;0;Alberto García
1178;0;Alexander Söderlund
1193;0;Mehdi Taremi
1195;0;Luis Abram
1198;0;Mohamed Sherif
1199;0;Julio Buffarini
1200;0;George Tucudean
1201;0;Elvir Koljic
1205;0;James Lawrence
1208;0;Marwan Kabha
1210;0;Florentin Matei
1216;0;Christos Albanis
1217;0;Paul Anton
1221;0;Jaka Bijol
1222;215755;Fedor Chernykh
1223;211626;Damian Kadzior
1224;0;Marijan Cavar
1225;0;Catalin Golofca
1227;0;Mihai Roman
1228;0;Kamer Qaka
1233;0;Marko Vesovic
1235;0;Carlos Castro
1237;0;Ondrej Kudela
1240;0;Lovro Bizjak
1242;0;Guido Mainero
1243;0;Ibrahim El Baz
1247;0;Ahmed Mostafa
1250;0;James
1251;212040;Ulrik Jenssen
1253;201549;Nemanja Nikolic
1255;0;Andrea Bianchimano
1258;0;Matías Vera
1263;0;Pavel Savitskiy
1264;0;Aleksandar Vukotic
1266;0;Lewis Morgan
1268;0;Régis
1271;0;Hamza El Moussaoui
1274;0;Leonardo Sequeira
1275;0;Juan Salgueiro
