IDF;ID;Name
785;0;Juninho Capixaba
787;0;Federico Mancuello
791;0;Samuel Mraz
792;0;Baris Alici
793;0;Dusan Vlahovic
797;0;Adis Jahovic
806;0;Diogo Barbosa
809;0;Jean
810;0;Alessandro Tripaldelli
811;0;Ante Erceg
814;224719;Aleksandr Tashaev
816;0;Vitalie Damascan
817;199829;David Timor
818;0;Nicholas Opoku
819;0;…rick Torres
822;194662;Anton Zabolotny
823;213835;Jens Martin Gammelby
825;0;Denis Alibec
826;0;Ferdi Kadioglu
827;205998;AndrÈ Poko
832;0;LÈandre Tawamba
836;0;Hugo Nervo
841;0;Ragnar Klavan
842;0;Julian von Moos
844;0;Facundo Castro
847;0;Andrija Pavlovic
848;0;Mateo Barac
849;218746;JosÈ Pozo
852;0;Diego Calderon
853;0;Mohamed Magdy
857;0;Emerson Santos
859;189715;Marko Vejinovi?
861;0;Kawin Thamsatchanan
870;0;Ervin Zukanovic
872;0;Aleksandar Palocevic
876;0;Evgen Makarenko
878;0;Jucilei
879;0;Franck Ohandza
881;0;Hamid Ahadad
883;0;êdison Flores
884;0;Mohamed Hamdi
892;0;Anthony Nwakaeme
895;0;Anthony Blondell
896;0;Pablo Ar·nguiz
897;0;Douglas Augusto
899;0;Carlos Feraud
901;0;Emre Colak
903;178086;Antonio Ad·n
904;0;Andrej Lukic
906;0;Viktor Gyˆkeres
907;0;Josip Radosevic
908;0;Arnaut Danjuma
910;0;Alexandru Cicaldau
912;0;Mislav Orsic
913;0;Goran Causic
926;206109;Raman Chibsah
930;0;Antonio Candela
933;0;Davis Ikaunieks
934;0;Bilal Basacikoglu
935;0;Evgen Opanasenko
944;0;Giannis Masouras
946;0;Tomas Chory
952;169426;Antonio Barrag·n
955;0;Braian Samudio
956;0;Dennis Hadzikadunic
958;0;Filip Uremovic
960;0;Stiven Mendoza
961;214949;Harisson Manzala
963;0;Marquinhos Cipriano
964;0;Ondrej Kolar
966;0;GuÈlor Kanga
971;0;Nuri Sahin
975;0;JosÈ Francisco Cevallos Jr.
976;0;Mohamed Fathi
977;0;¡ngelo HenrÌquez
979;0;Pedro Conde
984;221671;Jae-sung Lee
988;0;Marco T˙lio
995;0;Luka Bogdan
997;0;Eugenio Isnaldo
999;0;Jakub Swierczok
1001;0;Mohamed Farouk
1003;0;Jaroslav Zeleny
1007;0;Jeremy Brockie
1008;0;Fernand Mayembo
1009;0;Zoran Nizic
1013;0;Facundo Medina
1014;190193;Abdul-Aziz Tetteh
1015;0;Srdjan Babic
1018;0;Blessing Eleke
1023;0;Dario Zuparic
1025;0;Gustavo
1030;0;Jasper van der Werff
1031;0;Luka Adzic
1033;0;Pedro Delgado
1034;237404;Luk·ö PokornÏ
1040;0;JosÈ AlÌ Meza
1042;0;Wuilker FariÒez
1044;0;Ragab Bakar
1045;0;Otar Kiteishvili
1054;0;Domagoj Antolic
1060;0;Kristal Abazaj
1061;0;Alexandru Mitrita
1065;0;Sindrit Guri
1066;0;JosÈ Caraballo
1068;0;Valentin Costache
1071;0;Woo-yeong Jeong
1072;0;Jung-min Kim
1074;0;Olimpiu Morutan
1075;0;Davide Lanzafame
1078;0;Vladimir Coufal
1079;0;Everton Luiz
1083;0;Alkhali Bangoura
1084;0;JoaquÌn Varela
1087;229753;Tsiy William Ndenge
1088;0;Jawad El Yamiq
1089;0;Aleksandar Radovanovic
1091;201038;Milan Djuric
1094;0;Dino Ndlovu
1096;0;Luiz Fernando
1100;228352;EdmÌlson Junior
1102;0;Michal Duris
1104;233520;Baris Atik
1105;0;Lorenzo Ebecilio
1107;0;Mats Mˆller Daehli
1112;0;Yannick Gomis
1113;0;Badr Boulahroud
1114;0;Ehsan Hajsafi
1118;0;Andraz Sporar
1119;0;Kenan Bajric
1120;0;Ionut Nedelcearu
1122;0;Mahmoud Abdelaziz
1124;0;Hamdi Nagguez
1130;0;Oumar Solet
1133;0;Majid Hosseini
1134;0;Madson
1138;0;Afonso Caetano
1139;0;Simon Andersson
1143;0;Luis Milla
1144;0;Stephen Eust·quio
1145;0;Luan Peres
1147;0;Kristijan Bistrovic
1150;0;Islam Issa
1151;0;El Fardou Ben
1152;0;Marin Tomasov
1161;0;Rifet Kapic
1163;0;Leandro Fernandes
1164;0;Marko Jevtovic
1165;0;HÛlmar ÷rn EyjÛlfsson
1167;0;May Mahlangu
1170;0;Jordan Larsson
1172;224274;Sasa Zdjelar
1175;0;Fabio Morselli
1177;0;Alberto GarcÌa
1178;0;Alexander Sˆderlund
1184;240922;Dani Escriche
1186;205157;IÒigo Ruiz de Galarreta
1193;0;Mehdi Taremi
1195;0;Luis Abram
1196;185199;Sebasti·n Ribas
1197;232831;Kyu-baek Choi
1198;0;Mohamed Sherif
1199;0;Julio Buffarini
1200;0;George Tucudean
1201;0;Elvir Koljic
1205;0;James Lawrence
1208;0;Marwan Kabha
1210;0;Florentin Matei
1215;183833;Ima Andriatsima
1216;0;Christos Albanis
1217;0;Paul Anton
1219;215568;JosÈ Naranjo
1221;0;Jaka Bijol
1222;0;Fedor Chernykh
1223;0;Damian Kadzior
1224;0;Marijan Cavar
1225;0;Catalin Golofca
1227;0;Mihai Roman
1228;0;Kamer Qaka
1233;0;Marko Vesovic
1235;0;Carlos Castro
1237;0;Ondrej Kudela
1240;0;Lovro Bizjak
1242;0;Guido Mainero
1243;0;Ibrahim El Baz
1245;202088;Klaus
1247;0;Ahmed Mostafa
1250;0;James
1251;0;Ulrik Jenssen
1252;178461;Janus Drachmann
1253;0;Nemanja Nikolic
1255;0;Andrea Bianchimano
1258;0;MatÌas Vera
1262;205869;Jairo Samperio
1263;0;Pavel Savitskiy
1264;0;Aleksandar Vukotic
1266;0;Lewis Morgan
1268;0;RÈgis
1271;0;Hamza El Moussaoui
1274;0;Leonardo Sequeira
1275;0;Juan Salgueiro
1277;0;Jovan Pavlovic
1278;0;Den°lson
1279;0;Erik Sabo
1283;0;Abdullahi Shehu
1284;0;Robert Mazan
1285;0;Strahinja Tanasijevic
1297;0;Alexandru Stan
1300;0;Michel
1306;0;Kenan Piric
1307;0;Marko Mihojevic
1308;0;Gustavo Hamer
1309;0;Zvonimir Kozulj
1311;0;Ali Gholizadeh
1315;0;Omar El Said
1317;0;Oussama Darragi
1318;0;Jakub Czerwinski
1319;0;Umut Meras
1320;0;EmmersÛn
1321;0;Elias
1322;0;Felipe Saavedra
1324;0;Rody de Boer
1330;0;Nikola Storm
1331;0;William Togui
1332;0;Florian Jamnig
1333;0;Enis Fazlagic
1334;0;Domagoj Drozdek
1340;0;Alexis Gamboa
1342;0;Hyeon-cheol Jeong
1347;0;Georgi Kostadinov
1349;0;Cornel Rapa
1350;0;Ovidiu Bic
1351;0;Evgeni Markov
1353;0;Stefan Hajdin
1354;0;Enric Gallego
1355;0;Banou Diawara
1357;0;AndrÈ Vidigal
1359;0;Paul Jaeckel
1361;0;Davide Riccardi
