;special;age;height_cm;weight_kg;eur_value;overall;potential;pac;sho;pas;dri;def;phy;international_reputation;skill_moves;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;free_kick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;marking;standing_tackle;sliding_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes;coste;rs;rw;rf;ram;rcm;rm;rdm;rcb;rb;rwb;st;lw;cf;cam;cm;lm;cdm;cb;lb;lwb;ls;lf;lam;lcm;ldm;lcb;gk
dri;0,447490922;0,180066237;-0,300212647;-0,2119842;0,408802407;0,587779923;0,462930429;0,567603199;0,764194775;0,80573652;1;-0,215471064;-0,006285397;0,321059392;0,337163359;0,423886584;0,462674996;-0,163395965;0,340231679;0,449994944;0,496718888;0,482861589;0,416689463;0,326428221;0,409030339;0,355943934;0,317527457;0,511089592;0,535292935;0,374113832;0,34935375;-0,002436934;0,121227687;-0,203563123;0,470539069;-0,079884071;-0,184272663;0,456904542;0,612850358;0,341139686;0,341669839;-0,27065433;-0,250864338;-0,259786539;0,160307281;0,15986053;0,155570729;0,160902308;0,166487579;NA;0,231871549;0,298674676;0,288473541;0,288934678;0,204688612;0,269170086;-0,032328825;-0,177572623;-0,042818395;0,019567039;0,231871549;0,298674676;0,288473541;0,288934678;0,204688612;0,269170086;-0,032328825;-0,177572623;-0,042818395;0,019567039;0,231871549;0,288473541;0,288934678;0,204688612;-0,032328825;-0,177572623;0,156365751
def;0,359335119;0,226052086;0,111445855;0,118596342;0,119896317;0,319159679;0,156688069;-0,237660374;-0,451156425;0,083004754;-0,215471064;1;0,534501611;0,133126687;-0,194410016;0,19596973;-0,292414511;0,376217763;0,298262004;-0,170313998;4,59E-05;0,031399749;0,075662993;0,411463267;0,135137087;-0,036997148;-0,012320657;-0,073450536;0,299471967;-0,043164037;0,030928492;0,279503245;0,372874769;0,387628768;-0,059207441;0,625973227;0,90081912;-0,112638485;-0,012814601;-0,125900117;0,274786196;0,914725379;0,904975374;0,901498541;-0,192262655;-0,196075933;-0,195532277;-0,190627206;-0,193110734;NA;0,079225743;0,083429725;0,076172521;0,111223325;0,280855856;0,137347461;0,591373696;0,690559764;0,584214803;0,525635658;0,079225743;0,083429725;0,076172521;0,111223325;0,280855856;0,137347461;0,591373696;0,690559764;0,584214803;0,525635658;0,079225743;0,076172521;0,111223325;0,280855856;0,591373696;0,690559764;-0,201929237
phy;0,331618144;0,420283886;0,408702471;0,485327642;0,250853429;0,557633638;0,23384168;-0,090270449;0,017721776;0,145766351;-0,006285397;0,534501611;1;0,235243815;-0,161541658;0,051748631;-0,044546733;0,420541391;0,185872571;0,01830754;-0,013824303;0,025013784;0,049096518;0,212091053;0,115172135;-0,085675976;-0,018413085;-0,120550069;0,4799396;-0,275951261;0,184629102;0,406630925;0,424946323;0,840081665;0,079260295;0,6264589;0,484583953;0,024313033;0,060674764;0,02225948;0,342072814;0,440762212;0,436243113;0,407382292;-0,019205865;-0,013177128;-0,021492923;-0,000775171;-0,016585191;NA;0,11897073;0,049411619;0,070630314;0,070433069;0,165013691;0,078324175;0,33138425;0,408863355;0,298234634;0,26636634;0,11897073;0,049411619;0,070630314;0,070433069;0,165013691;0,078324175;0,33138425;0,408863355;0,298234634;0,26636634;0,11897073;0,070630314;0,070433069;0,165013691;0,33138425;0,408863355;-0,027075359
international_reputation;0,297046637;0,23831527;0,042907214;0,083283588;0,715544846;0,526885819;0,422658402;0,084914349;0,279260063;0,355844835;0,321059392;0,133126687;0,235243815;1;0,153163122;0,188659074;0,176410724;0,161519989;0,246116338;0,234730829;0,179245702;0,226653996;0,21742137;0,241814405;0,221745994;0,056208717;0,063454338;0,110992937;0,457335806;0,04306195;0,225484155;0,133023829;0,113472039;0,148591511;0,21073623;0,174998342;0,134609849;0,183686261;0,276593079;0,210648429;0,359285027;0,077207561;0,098717926;0,084235755;0,006598568;0,006371798;0,001321762;0,009435218;0,005586986;NA;0,160583588;0,152570618;0,161673326;0,162860227;0,170783277;0,151194404;0,142576092;0,116808056;0,122898089;0,130757442;0,160583588;0,152570618;0,161673326;0,162860227;0,170783277;0,151194404;0,142576092;0,116808056;0,122898089;0,130757442;0,160583588;0,161673326;0,162860227;0,170783277;0,142576092;0,116808056;0,006852284
skill_moves;0,613899764;-0,029976035;-0,443444315;-0,391108078;0,230841065;0,224850011;0,218974532;0,341780649;0,250141255;0,219637128;0,337163359;-0,194410016;-0,161541658;0,153163122;1;0,641068843;0,718215418;0,382036494;0,619292931;0,704808239;0,759047208;0,686746433;0,632771975;0,496138074;0,719049752;0,620558768;0,598061273;0,634274397;0,212034115;0,55967926;0,637103734;0,030959591;0,455747533;-0,135188807;0,677605527;0,215265388;0,056493736;0,717909915;0,576923152;0,664742079;0,517690044;0,025916304;0,061316742;0,03807903;-0,614199467;-0,611372746;-0,609197426;-0,610629958;-0,612891199;NA;0,738917387;0,760703248;0,756916223;0,751092605;0,683562226;0,743381528;0,478917963;0,356724375;0,483858924;0,535474919;0,738917387;0,760703248;0,756916223;0,751092605;0,683562226;0,743381528;0,478917963;0,356724375;0,483858924;0,535474919;0,738917387;0,756916223;0,751092605;0,683562226;0,478917963;0,356724375;-0,623661858
crossing;0,863302925;0,136340187;-0,489331411;-0,406073627;0,245927457;0,389180643;0,249715311;0,352177936;0,179899628;0,48714623;0,423886584;0,19596973;0,051748631;0,188659074;0,641068843;1;0,647810399;0,472043388;0,808755961;0,686094985;0,852015319;0,829967399;0,762340033;0,755644081;0,838661815;0,658872173;0,642559802;0,689340856;0,379565644;0,615914841;0,703618892;0,12126601;0,663476295;-0,041186215;0,740117579;0,466257235;0,418308353;0,777303989;0,682121797;0,650637932;0,644212841;0,386143041;0,415363825;0,402899599;-0,661879878;-0,659671998;-0,657961146;-0,658621151;-0,662023427;NA;0,80222568;0,861080513;0,835814406;0,847407957;0,841067668;0,865890641;0,729066418;0,618260489;0,745710036;0,789415204;0,80222568;0,861080513;0,835814406;0,847407957;0,841067668;0,865890641;0,729066418;0,618260489;0,745710036;0,789415204;0,80222568;0,835814406;0,847407957;0,841067668;0,729066418;0,618260489;-0,677183555
finishing;0,708029867;0,066626617;-0,364185265;-0,297335605;0,254993378;0,320369361;0,241978488;0,334688699;0,581642765;0,31593437;0,462674996;-0,292414511;-0,044546733;0,176410724;0,718215418;0,647810399;1;0,471810691;0,658799369;0,879258059;0,820510595;0,753454798;0,692014;0,503241167;0,784658877;0,59750203;0,5876877;0,632844663;0,318724049;0,513097008;0,800030374;0,075810226;0,499950814;-0,02054614;0,866759891;0,231040196;-0,036355078;0,882583875;0,690347463;0,833313854;0,58681948;-0,084858015;-0,0517036;-0,087958805;-0,581506523;-0,578504719;-0,576403596;-0,578867543;-0,579840091;NA;0,842622417;0,820492642;0,836005984;0,812229503;0,715523147;0,786519016;0,443366249;0,305437046;0,433038699;0,494975774;0,842622417;0,820492642;0,836005984;0,812229503;0,715523147;0,786519016;0,443366249;0,305437046;0,433038699;0,494975774;0,842622417;0,836005984;0,812229503;0,715523147;0,443366249;0,305437046;-0,594576645
heading_accuracy;0,65022867;0,144874369;0,007341545;0,020143856;0,187957952;0,338943939;0,205305345;-0,099986573;-0,15120105;-0,11080439;-0,163395965;0,376217763;0,420541391;0,161519989;0,382036494;0,472043388;0,471810691;1;0,633315023;0,502847265;0,543473983;0,446375244;0,422697239;0,511111232;0,652464695;0,335821848;0,38661541;0,258879828;0,313262158;0,171930515;0,615253229;0,363524159;0,639293809;0,468719469;0,509172175;0,687145935;0,548006424;0,531794979;0,283515686;0,551775423;0,609541049;0,556229482;0,561870296;0,532646197;-0,749905083;-0,747889931;-0,7449842;-0,745447399;-0,749214861;NA;0,754858848;0,676052944;0,69950466;0,689735965;0,737458782;0,692915387;0,780547257;0,806164745;0,772237237;0,760132272;0,754858848;0,676052944;0,69950466;0,689735965;0,737458782;0,692915387;0,780547257;0,806164745;0,772237237;0,760132272;0,754858848;0,69950466;0,689735965;0,737458782;0,780547257;0,806164745;-0,766371915
short_passing;0,902548313;0,131274575;-0,368146976;-0,311656207;0,321943795;0,486267262;0,368036255;0,176842751;0,140199558;0,46425385;0,340231679;0,298262004;0,185872571;0,246116338;0,619292931;0,808755961;0,658799369;0,633315023;1;0,69532027;0,836319129;0,777125765;0,740141796;0,894560038;0,905458347;0,562898091;0,557143191;0,611093488;0,462336419;0,536385552;0,769374653;0,180981933;0,710080907;0,113575121;0,762254008;0,595276931;0,521333719;0,758204527;0,718515907;0,680096763;0,755529816;0,483049359;0,516476097;0,487267292;-0,724139783;-0,721263782;-0,719760871;-0,719994525;-0,723749387;NA;0,857274355;0,878396301;0,878805811;0,900072658;0,925165528;0,892022513;0,842100892;0,735452392;0,814614599;0,846947485;0,857274355;0,878396301;0,878805811;0,900072658;0,925165528;0,892022513;0,842100892;0,735452392;0,814614599;0,846947485;0,857274355;0,878805811;0,900072658;0,925165528;0,842100892;0,735452392;-0,740485003
volleys;0,762153145;0,134681331;-0,351700503;-0,275384297;0,285420542;0,378622443;0,255511279;0,2929976;0,508352845;0,365138395;0,449994944;-0,170313998;0,01830754;0,234730829;0,704808239;0,686094985;0,879258059;0,502847265;0,69532027;1;0,808860301;0,801205645;0,744587978;0,56345338;0,792615851;0,567776458;0,560302965;0,621380383;0,382347628;0,51129883;0,822340159;0,101238283;0,523556914;0,014604635;0,859846925;0,316890422;0,074846355;0,847094034;0,694954007;0,823393624;0,643971825;0,020799873;0,055564995;0,02272533;-0,587345183;-0,583669025;-0,581998246;-0,583971337;-0,585057957;NA;0,828264693;0,811611666;0,824852618;0,809099254;0,73858129;0,786945791;0,50720154;0,3795475;0,49426481;0,549576308;0,828264693;0,811611666;0,824852618;0,809099254;0,73858129;0,786945791;0,50720154;0,3795475;0,49426481;0,549576308;0,828264693;0,824852618;0,809099254;0,73858129;0,50720154;0,3795475;-0,599369801
